Industry,Percentage
"Agriculture, Forestry and Fishing",2.6
Mining,0.9
Manufacturing,5.2
"Electricity, Gas, Water and Waste Services",0.5
Construction,5.4
Wholesale Trade,3.6
Retail Trade,7.5
Accommodation and Food Services,11.3
"Transport, Postal and Warehousing",4.7
Information Media and Telecommunications,1.3
Financial and Insurance Services,3.6
"Rental, Hiring and Real Estate Services",1.6
"Professional, Scientific and Technical Services",9.1
Administrative and Support Services,14.1
Public Administration and Safety,2.9
Education and Training,5.4
Health Care and Social Assistance,12.1
Arts and Recreation Services,1.5
Other Services,3.3